module_id,module_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
learningtheories,Learning Theories,easy,"Cognitive theorists believe that what is the prime source of knowledge?","Experience","Emotion","Reason","Repetition",C
learningtheories,Learning Theories,easy,"E.L. Thorndike's theory of learning is also known as the Theory of Connectionism or...?","Theory of Insight","Theory of Conditioning","Theory of Readiness","Theory of Trial and Error",D
learningtheories,Learning Theories,easy,"In Thorndike's cat experiment, what served as the strong 'motivator' or 'goal' for the cat?","The desire to escape","The fish outside the cage","The sound of a bell","The comfortable cage",B
learningtheories,Learning Theories,easy,"In Thorndike's experiment, the final stage where the cat learned the proper way to open the door is called what?","Fixation","Chance Success","Random Movement","Drive",A
learningtheories,Learning Theories,easy,"Which of Thorndike's laws states that 'repetition makes learning perfect'?","The Law of Readiness","The Law of Effect","The Law of Exercise","The Law of Association",C
learningtheories,Learning Theories,easy,"Which of Thorndike's laws emphasizes the need for a pleasing environment where the learner derives satisfaction?","The Law of Effect","The Law of Repetition","The Law of Readiness","The Law of Primacy",A
learningtheories,Learning Theories,easy,"In Ivan Pavlov's experiment with the dog, what was the food considered?","Conditioned Stimulus (CS)","Neutral Stimulus (NS)","Un-Conditioned Stimulus (UCS)","Conditioned Response (CR)",C
learningtheories,Learning Theories,easy,"In Pavlov's experiment, the salivation in response to the food was considered what?","Un-Conditioned Response (UCR)","Conditioned Stimulus (CS)","Neutral Response (NR)","Conditioned Response (CR)",A
learningtheories,Learning Theories,easy,"In Pavlov's experiment, what was the sound of the bell initially?","Conditioned Stimulus (CS)","Un-Conditioned Stimulus (UCS)","Conditioned Response (CR)","Neutral Stimulus (NS)",D
learningtheories,Learning Theories,easy,"The German word 'Gestalt' is defined as pattern, shape, form, or...?","Insight","Configuration","Response","Stimulus",B
learningtheories,Learning Theories,easy,"In Gestalt theory, what is the term for the sudden change in perception where a solution becomes clear?","Conditioning","Fixation","Insight","Association",C
learningtheories,Learning Theories,easy,"The idea that all complex ideas are built up from a stock of simple ideas is known as what?","Sensationalism","Mechanism","Associationism","Reductionism",D
learningtheories,Learning Theories,easy,"The belief that the mind is like a machine built out of simple elements is called what?","Mechanism","Rationalism","Empiricism","Gestalt",A
learningtheories,Learning Theories,easy,"In the chimpanzee experiment, what did the animal suddenly perceive a relationship between?","The cage and the bananas","The two sticks","The stick and the bananas","Its hunger and the bananas",C
learningtheories,Learning Theories,easy,"According to the text, who proposed that all learning is due to human needs?","Watson","Guthrie","Pavlov","Hull",D
learningtheories,Learning Theories,hard,"A math instructor uses repetitive worksheets and drills to teach multiplication tables. This method aligns most closely with which learning theory?","Natural Unfoldment","Gestalt Theory","Mental Discipline","Appreciation",C
learningtheories,Learning Theories,hard,"What is the core philosophical difference between S-R (Stimulus-Response) theories and Cognitive theories?","S-R focuses on animal learning, Cognitive on human learning.","S-R emphasizes experience (empiricism), while Cognitive emphasizes reason (rationalism).","S-R is a twentieth-century theory, while Cognitive is a pre-twentieth-century theory.","S-R uses rewards, while Cognitive uses punishment.",B
learningtheories,Learning Theories,hard,"In Thorndike's cat experiment, the 'Block' in the learning process was what?","The cat's hunger","The fish being placed outside","The cat being confined in a cage with a closed door","The random movements made by the cat",C
learningtheories,Learning Theories,hard,"How does Gestalt theory's view of problem-solving contrast with Thorndike's Trial and Error method?","Gestalt emphasizes mechanical repetition, while Thorndike emphasizes sudden insight.","Gestalt suggests learning occurs by chance, while Thorndike suggests it is structured.","Gestalt emphasizes solving problems structurally and organically, not by mechanical trial and error.","There is no significant difference in their views on problem-solving.",C
learningtheories,Learning Theories,hard,"When a trainee feels a sense of satisfaction and pleasure from mastering a new skill, which of Thorndike's laws is being directly applied?","The Law of Exercise","The Law of Effect","The Law of Readiness","The Law of Primacy",B
learningtheories,Learning Theories,hard,"In Pavlov's experiment, after many repetitions of pairing the bell with food, the dog salivates to the bell alone. This salivation is now technically called a...?","Un-Conditioned Stimulus (UCS)","Un-Conditioned Response (UCR)","Conditioned Response (CR)","Conditioned Stimulus (CS)",C
learningtheories,Learning Theories,hard,"In the Gestalt experiment, the chimpanzee's sudden realization that it could use the stick to get the bananas is a clear example of what?","Trial and Error","Conditioning","S-R Bondage","Insight",D
learningtheories,Learning Theories,hard,"According to Thorndike's identified stages of learning, what is the crucial step that occurs between 'Chance Success' and 'Fixation'?","Drive","Goal","Selection of Proper Movement","Random Movements",C
learningtheories,Learning Theories,hard,"How does the S-R concept of 'Reductionism' conflict with the main principle of Gestalt theory?","Reductionism builds learning from simple parts, while Gestalt focuses on the whole pattern or configuration.","Reductionism focuses on reason, while Gestalt focuses on experience.","Reductionism is about repetition, while Gestalt is about readiness.","Reductionism applies to humans, while Gestalt applies to animals.",A
learningtheories,Learning Theories,hard,"A trainer begins a course by explaining how the new skills will directly help trainees in their daily tasks, thereby arousing their interest. Which of Thorndike's laws is being demonstrated?","The Law of Effect","The Law of Exercise","The Law of Recency","The Law of Readiness",D
learningtheories,Learning Theories,hard,"The process by which the neutral bell sound in Pavlov's experiment acquired the characteristics of the food is defined as...?","Insight","Conditioning","Fixation","Readiness",B
learningtheories,Learning Theories,hard,"Gestalt theorists advocated for learning by understanding, arguing it was more appropriate than the 'rote process' suggested by which group of theories?","Pre-twentieth century theories","Theories of appreciation","S-R bond theories","Theories of unfoldment",C
andragogy,Andragogy,easy,"According to the text, what is Pedagogy?","The art and science of teaching adults","The art and science of teaching children","The study of ancient teaching methods","The study of self-directed learning",B
andragogy,Andragogy,easy,"The word 'Andragogy' is derived from the Greek words 'Andra' and 'Agogos', meaning what?","Man and learning","Child and leading","Man and teaching","Child and learning",A
andragogy,Andragogy,easy,"Who published the influential 1973 book 'The Adult Learner: A Neglected Species'?","Plato","Confucius","Malcolm Knowles","John Calvin",C
andragogy,Andragogy,easy,"How is Andragogy defined in the chapter?","The art and science of teaching children","The process of passive reception of knowledge","The art and science of helping adults to learn","An authoritarian teaching technique",C
andragogy,Andragogy,easy,"According to Knowles' assumptions, as a person matures, their self-concept moves from a dependent personality towards being...?","A passive receiver","A subordinate","A self-directed human being","A knowledge expert",C
andragogy,Andragogy,easy,"Which of Knowles' assumptions states that an adult's motivation to learn is primarily internal?","Self-Concept","Experience","Readiness to learn","Motivation to Learn",D
andragogy,Andragogy,easy,"In Pedagogy, which of the four learning components is described as the most prominent?","Thinking","Imitation","Being Told","Trial and Error",C
andragogy,Andragogy,easy,"In Andragogy, which of the four learning components has the most influence?","Being Told","Imitation","Thinking","Passive Reception",C
andragogy,Andragogy,easy,"Which learning approach is described as 'Learner centred'?","Pedagogy","Authoritarianism","Andragogy","Calvinism",C
andragogy,Andragogy,easy,"Which learning approach is described as 'Trainer centred'?","Andragogy","Pedagogy","Experiential Learning","Facilitation",B
andragogy,Andragogy,easy,"In the andragogical model, the instructor should adopt the role of a trainer or a...?","Facilitator or resource person","Grader or evaluator","Lecturer or expert","Director or manager",A
andragogy,Andragogy,easy,"Adults prefer a learning process that is experiential and...?","Passive","Authoritarian","Participative","Theoretical",C
andragogy,Andragogy,easy,"According to the comparison table, the learner in a pedagogical setting is comparatively...?","Active","Passive","Self-directed","Independent",B
andragogy,Andragogy,easy,"A key implication of andragogy in training is to create a psychological climate of mutual...?","Competition","Respect & co-operation","Dependence","Indifference",B
andragogy,Andragogy,easy,"The text states, 'Experience is the adult learner's living _____'?","Quiz","Curriculum","Text book","Problem",C
andragogy,Andragogy,easy,"The term Pedagogy is derived from the Greek word 'paid' which means?","Man","Lead","Child","Learn",C
andragogy,Andragogy,easy,"Adult learners orient their learning to subjects that have immediate relevance or application to their...?","Past","Job","Childhood","Friends",B
andragogy,Andragogy,easy,"According to the text, ancient trainers like Budha and Plato saw learning as a process of active...?","Inquiry","Reception","Memorization","Obedience",A
andragogy,Andragogy,easy,"On the Pedagogy-Andragogy continuum, which model is associated with 'Dependence'?","Andragogy","Pedagogy","Both","Neither",B
andragogy,Andragogy,easy,"The text states that in conventional education, the learner is required to adjust to an established...?","Pace","Instructor","Group","Curriculum",D
andragogy,Andragogy,hard,"While an adult's reservoir of experience is a resource for learning, what is a potential drawback mentioned in the text?","It makes learning too fast","It can become a big hindrance to learning","It is irrelevant to new topics","It reduces internal motivation",B
andragogy,Andragogy,hard,"Which of Knowles' five assumptions best explains why an adult would want to know the immediate, real-world use of a new skill being taught?","Self-Concept","Experience","Orientation to Learning","Motivation to Learn",C
andragogy,Andragogy,hard,"How does the role of the instructor in andragogy differ from pedagogy regarding knowledge?","In pedagogy the instructor transmits what is known; in andragogy the instructor helps the learner discover the unknown.","In pedagogy the instructor learns with the student; in andragogy the instructor is the sole expert.","In pedagogy the instructor focuses on skill; in andragogy the instructor focuses on theory.","There is no fundamental difference in the role.",A
andragogy,Andragogy,hard,"A training program that uses case studies, group discussions, and role-playing is focusing on which key aspect of Andragogy?","Making the environment trainer-centred","Creating experiential and participative learning","Focusing purely on the 'Being Told' component","Ensuring the learner remains passive",B
andragogy,Andragogy,hard,"An adult learner feels disrespected and disengages from a course where the instructor is condescending. This behavior is explained because adults...?","Have a short time perspective","Lack awareness of self","Tend to avoid and reject situations where they are treated like children","Prefer to be told what to do",C
andragogy,Andragogy,hard,"In designing a course for adults, why is it important to allow for different activities and materials based on their backgrounds?","To fulfill the 'Readiness to learn' assumption","To ensure the learning is trainer-centred","To account for their 'growing reservoir of experience'","To make the assessment more difficult",C
andragogy,Andragogy,hard,"The text implies that the historical dominance of pedagogy in adult education was a mistake because...?","Adults and children learn in fundamentally different ways","Pedagogy is an outdated theory","Ancient trainers like Plato did not use it","It was only designed for priesthood training",A
andragogy,Andragogy,hard,"A course that focuses primarily on the process of learning and discovery rather than the memorization of content is following the principles of...?","Andragogy","Pedagogy","Formal Assessment","Trainer-centred learning",A
andragogy,Andragogy,hard,"Which statement best synthesizes the shift in learning focus from Pedagogy to Andragogy?","The focus shifts from instructor convenience to curriculum content.","The focus shifts from transmitting knowledge to discovering knowledge.","The focus shifts from active participation to passive reception.","The focus shifts from self-assessment to formal assessment.",B
andragogy,Andragogy,hard,"According to the Pedagogy-Andragogy continuum, a learner who moves from having erratic, shallow interests to deeper, stronger interests is progressing towards...?","Andragogy","Pedagogy","Dependence","Subordination",A
andragogy,Andragogy,hard,"Why is 'self-assessment' a more suitable evaluation method in Andragogy?","Because adults are less experienced","Because it reinforces the adult's self-concept and self-directed nature","Because it is easier for the instructor to grade","Because adults do not like feedback",B
andragogy,Andragogy,hard,"The text states, 'Psychology teaches us that we learn what we do'. This statement was used to support the idea that...?","Experience is the adult learner's living textbook","The instructor should be the center of learning","The curriculum should be established and fixed","Children's learning should be limited",A
fourways,4 Ways of Learning,easy,"According to the chapter, what are the four ways of learning?","Reading, Writing, Listening, Speaking","Being Told, Trial and Error, Imitation, Thinking","Observation, Practice, Assessment, Feedback","Visual, Auditory, Kinesthetic, Reading/Writing",B
fourways,4 Ways of Learning,easy,"Learning by receiving direct instruction, either orally or in writing, is known as what?","Imitation","Thinking","Trial and Error","Being Told",D
fourways,4 Ways of Learning,easy,"Which way of learning is described as being particularly useful in learning skills by trying to do a thing by oneself?","Being Told","Imitation","Trial & Error","Thinking",C
fourways,4 Ways of Learning,easy,"Learning by copying the actions of another person, such as an instructor, is called what?","Imitation","Thinking","Trial & Error","Being Told",A
fourways,4 Ways of Learning,easy,"Learning by organising one's thoughts about a topic or problem to arrive at a solution is called what?","Being Told","Thinking","Imitation","Trial & Error",B
fourways,4 Ways of Learning,easy,"A task that has one clear-cut procedure or method is called a...?","Productive Task","Complex Task","Reproductive Task","Cognitive Task",C
fourways,4 Ways of Learning,easy,"A task that can be done in more than one way is known as a...?","Reproductive Task","Productive Task","Simple Task","Manual Task",B
fourways,4 Ways of Learning,easy,"Learning the correct method of saluting is given as an example of which way of learning?","Trial & Error","Thinking","Being Told","Imitation",D
fourways,4 Ways of Learning,easy,"Learning to hit the bull's eye of a target with a pistol is used as an example of which learning method?","Thinking","Imitation","Trial & Error","Being Told",C
fourways,4 Ways of Learning,easy,"Solving complex problems in Mathematics or Science is an example of learning by...?","Imitation","Trial & Error","Thinking","Being Told",C
fourways,4 Ways of Learning,easy,"For learning by 'Being Told' to be effective, the trainee must accept the trainer as the provider of...?","Motivation","Knowledge","Tools","Assessment",B
fourways,4 Ways of Learning,easy,"For learning by 'Imitation' to be effective, what must be available for the trainee to copy?","A written manual","A good model performance","A set of tools","A reward",B
fourways,4 Ways of Learning,easy,"In learning by 'Thinking', what role should the trainer adopt?","A disciplinary role","An advisory, counselling role","A passive observer role","An authoritative role",B
fourways,4 Ways of Learning,easy,"According to the diagram, which two ways of learning have the most influence on a Reproductive Task?","Thinking and Trial & Error","Imitation and Being Told","Thinking and Imitation","Trial & Error and Being Told",B
fourways,4 Ways of Learning,easy,"According to the diagram, which two ways of learning have the most influence on a Productive Task?","Imitation and Being Told","Trial & Error and Imitation","Thinking and Being Told","Thinking and Trial & Error",D
fourways,4 Ways of Learning,easy,"For a Productive Task, the instructor should play the role of a 'Guide' or a...?","Lecturer","Disciplinarian","Facilitator","Controller",C
fourways,4 Ways of Learning,easy,"Writing the cash account book of a public fund is an example of what type of task?","Productive Task","Analytical Task","Creative Task","Reproductive Task",D
fourways,4 Ways of Learning,easy,"Planning an industrial visit for a course is given as an example of what type of task?","Reproductive Task","Productive Task","Simple Task","Memory Task",B
fourways,4 Ways of Learning,easy,"What feeling should a trainee have so that a failed attempt in 'Trial & Error' leads to nothing worse than friendly advice?","A sense of urgency","A sense of competition","A sense of security","A sense of authority",C
fourways,4 Ways of Learning,easy,"In the 'Trial & Error' method, what happens when trainees perform a task correctly?","They are given a new task","They feel happy and are motivated to repeat it","They are asked to teach others","They are told to stop practicing",B
fourways,4 Ways of Learning,hard,"Why should learning situations for 'Trial & Error' be designed to avoid probable failure?","Because failure is not a learning opportunity","Because frequent errors lower confidence and develop reluctance","Because it saves time and resources","Because success is guaranteed in the first attempt",B
fourways,4 Ways of Learning,hard,"What should an instructor do if it's unavoidable to expose trainees to a 'bad model' during 'Imitation' learning?","Cancel the training session","Punish the bad model","Make efforts for positive learning and show the results of the bad performance","Ignore the bad model and hope trainees do not copy it",C
fourways,4 Ways of Learning,hard,"When is it more appropriate to use 'Being Told' instead of 'Thinking' for solving a problem?","When the problem is very complex","When trainees are highly experienced","When there is a straightforward, definitive solution","When there is a lot of time available",C
fourways,4 Ways of Learning,hard,"Which statement best differentiates a Productive Task from a Reproductive Task?","Productive tasks are physical, while Reproductive tasks are mental.","Productive tasks are easy, while Reproductive tasks are hard.","Productive tasks have multiple correct methods, while Reproductive tasks have one clear-cut method.","Productive tasks are for groups, while Reproductive tasks are for individuals.",C
fourways,4 Ways of Learning,hard,"An instructor is teaching a group of new chefs a standardized recipe that must be followed exactly. Which two learning methods would be most influential for this task?","Thinking and Trial & Error","Imitation and Being Told","Thinking and Imitation","Trial & Error and Being Told",B
fourways,4 Ways of Learning,hard,"A think tank is tasked with developing innovative solutions to reduce city traffic. Which two learning methods will they predominantly rely on?","Imitation and Being Told","Thinking and Trial & Error","Being Told and Trial & Error","Imitation and Thinking",B
fourways,4 Ways of Learning,hard,"Why is it generally more effective to train an entire group together when teaching a new work behavior through 'Imitation'?","Because it is cheaper and faster","Because individual members are less likely to adopt a new behavior alone","Because it encourages competition within the group","Because it allows for better assessment",B
fourways,4 Ways of Learning,hard,"While success is encouraged in 'Trial & Error', why is it beneficial for the learning situation to allow for one or two failures?","To lower the trainee's confidence","To identify the weakest trainees in a group","To allow the trainee to learn by analyzing what went wrong","To make the learning process longer",C
fourways,4 Ways of Learning,hard,"An instructor who avoids imposing their own answers to a problem and encourages trainees to find their own solutions is fostering which way of learning?","Imitation","Being Told","Trial & Error","Thinking",D
fourways,4 Ways of Learning,hard,"Based on the diagrams in the text, which learning way is considered the LEAST influential for a highly Reproductive Task?","Imitation","Being Told","Thinking","Trial & Error",C
fourways,4 Ways of Learning,hard,"What key personal factor of the trainees must be considered when creating a learning situation based on 'Thinking'?","Their physical strength","Their prior relationship with the trainer","Their maturity and experience","Their ability to imitate",C
fourways,4 Ways of Learning,hard,"According to the text, which is the most effective way to teach a recruit the correct, standardized way to assemble their rifle?","Let them figure it out via Thinking","Allow them to learn by Trial & Error","Use a combination of Being Told and Imitation","Ask them to write a paper on it",C
sat,Systematic Approach to Training (SAT),easy,"According to the text, what is the key difference between 'learning' and 'training'?","Learning is formal, while training is informal.","Training is a planned process that directs learning toward specific outcomes.","Learning is only for children, while training is for adults.","Training is a naturally occurring process, while learning is planned.",B
sat,Systematic Approach to Training (SAT),easy,"What does the acronym SAT stand for?","Standard Assessment of Training","Systematic Approach to Teaching","Systematic Approach to Training","Strategic Analysis of Tasks",C
sat,Systematic Approach to Training (SAT),easy,"What is one of the reasons given for why training is necessary instead of just letting people learn on their own?","People learn too quickly on their own.","People might never learn to perform a task properly.","Self-learning is too expensive.","Training guarantees a promotion.",B
sat,Systematic Approach to Training (SAT),easy,"Which of the following is listed as a visible benefit of systematic training?","Reduced employee morale","Increased costs","Fewer breakdowns or errors","Less utilization of time",C
sat,Systematic Approach to Training (SAT),easy,"The diagram of the SAT model shows the four steps revolving around what central issue?","Performance Deficiency","Low Budgets","New Technology","Employee Complaints",A
sat,Systematic Approach to Training (SAT),easy,"What is the first stage in the Systematic Approach to Training model?","Implement Training","Plan and Design","Assess Results","Identify Training Needs",D
sat,Systematic Approach to Training (SAT),easy,"What is the second stage of the SAT model, which occurs after needs have been identified?","Plan and Design","Implement Training","Assess Results","Job Analysis",A
sat,Systematic Approach to Training (SAT),easy,"Which stage of SAT is where the learning actually takes place?","Analysis Stage","Design Stage","Implementation Stage","Assessment Stage",C
sat,Systematic Approach to Training (SAT),easy,"What is the fourth and final stage of the SAT model?","Assess Results","Identify Needs","Implement Training","Plan and Design",A
sat,Systematic Approach to Training (SAT),easy,"Which type of analysis considers broad issues like policy, new technology, and cost escalation?","Job Analysis","Task Analysis","Organisational Training Needs Analysis","Performance Analysis",C
sat,Systematic Approach to Training (SAT),easy,"Which type of analysis investigates the jobs people do in detail, including their areas of responsibility?","Organisational Analysis","Task Analysis","Job Analysis","Needs Analysis",C
sat,Systematic Approach to Training (SAT),easy,"Which analysis provides the basis for training activities by investigating the procedures, knowledge, and skills for key tasks?","Task Analysis","Job Analysis","Organisational Analysis","Cost Analysis",A
sat,Systematic Approach to Training (SAT),easy,"In which stage of SAT is a decision made on whether to use On Job Training (OJT) or computer-based training?","Identify Training Needs","Plan and Design Training","Implement Training","Assess Results",B
sat,Systematic Approach to Training (SAT),easy,"For a trainee to willingly participate in training activities, they must first recognise what?","The cost of the training","The need for training","The trainer's qualifications","The location of the training",B
sat,Systematic Approach to Training (SAT),easy,"The assessment stage judges training based on the benefits derived and the _______ it achieves.","satisfaction","length","results","popularity",C
sat,Systematic Approach to Training (SAT),easy,"The text states that once a task is learned wrongly, it is very difficult to do what?","'Unlearn' and then relearn correctly","'Forget' and move on","'Repeat' the same mistake","'Teach' it to others",A
sat,Systematic Approach to Training (SAT),easy,"One of the three basic questions the 'Assess Results' stage needs to answer is:","Did the trainees enjoy the food?","Was the training room comfortable?","Was the training worthwhile?","Did the trainer use a loud voice?",C
sat,Systematic Approach to Training (SAT),easy,"Who must possess sufficient technical and instructional skills for the 'Implement Training' stage to be successful?","The trainees","The management","The trainers","The administrative staff",C
sat,Systematic Approach to Training (SAT),easy,"Which of the following is a benefit of systematic training?","Better identification of employee potential","Higher hidden costs","Longer time to learn a job","Increased number of errors",A
sat,Systematic Approach to Training (SAT),easy,"The success of the 'Implement Training' stage requires the active, wholehearted participation of whom?","The trainees","The organisation's clients","The finance department","The senior management",A
sat,Systematic Approach to Training (SAT),hard,"Which statement best synthesizes the relationship between learning and training?","Learning is a subset of training.","Training is a systematic application of learning principles to achieve specific organizational goals.","Learning and training are identical processes with different names.","Training is theoretical, while learning is practical.",B
sat,Systematic Approach to Training (SAT),hard,"An organisation notices a drop in production. According to the SAT model, what is the most appropriate first step?","Immediately implement a training program.","Assess the results of previous training.","Conduct an analysis to determine if the drop is a training problem.","Fire the underperforming employees.",C
sat,Systematic Approach to Training (SAT),hard,"A manager needs to create a detailed training manual outlining the exact steps, knowledge, and skills for operating a new machine. Which analysis is most critical for this task?","Organisational Analysis","Job Analysis","Task Analysis","Cost-Benefit Analysis",C
sat,Systematic Approach to Training (SAT),hard,"Why is the 'Assess Results' phase critical to the continuous improvement of a training system?","It provides the budget for future training.","It determines if the training solved the initial performance problem, providing feedback for the entire cycle.","It is where the trainees receive their certificates.","It ensures that all instructors are properly paid.",B
sat,Systematic Approach to Training (SAT),hard,"An employee has the necessary skills but is unmotivated, causing a performance deficiency. In which stage of SAT would this root cause likely be identified?","Identify Training Needs","Plan and Design","Implement Training","Assess Results",A
sat,Systematic Approach to Training (SAT),hard,"A training program is perfectly designed and implemented, but it fails to solve an organisational problem that was actually caused by faulty equipment. This represents a failure in which part of the SAT process?","The analysis phase failed to correctly identify the nature of the problem.","The implementation phase failed to motivate the trainees.","The design phase chose the wrong training methods.","The assessment phase used the wrong data.",A
sat,Systematic Approach to Training (SAT),hard,"A training program is evaluated by asking 'Did the training improve job performance?' This question is a core component of which SAT stage?","Identify Training Needs","Plan and Design","Implement Training","Assess Results",D
